Problem,Algorithm,Library,Best_Fitness_Mean,Best_Fitness_Std,Best_Fitness_Min,Time_Mean,Time_Std,Global_Minimum
Sphere,GA,PyMOO,0.0005776284102379805,0.00029392459166927454,0.0001441914885600498,0.11967439651489258,0.007840706301420166,0.0
Sphere,GA,Optuna,17.88747387938444,7.369314295986454,6.609113279163886,0.08791234493255615,0.003407691935742674,0.0
Sphere,DE,PyMOO,0.8200478827268967,0.24782235886233103,0.49011662497958214,0.10116372108459473,0.005127279383747948,0.0
Sphere,DE,Optuna,6.473307730701469,1.7420362182357911,3.314947242095976,0.048815155029296876,0.02776333921747552,0.0
Sphere,PSO,PyMOO,5.124161237260308e-06,6.980151352680753e-06,5.191534551521545e-07,0.11958634853363037,0.007472964499196139,0.0
Sphere,PSO,Optuna,29.0036605308251,8.250621371819305,12.548735329131137,0.02987511157989502,0.001567794490843734,0.0
Rastrigin,GA,PyMOO,0.5298089461135206,0.5644837144572412,0.043268802907860504,0.12575104236602783,0.006738492411979626,0.0
Rastrigin,GA,Optuna,100.33244260443331,11.920533477639431,83.58277870260918,0.0879591464996338,0.004746280557022826,0.0
Rastrigin,DE,PyMOO,59.133200523466186,4.143382476679829,50.17747047557341,0.11225349903106689,0.002488600392376633,0.0
Rastrigin,DE,Optuna,71.01407807965276,7.924228960659307,62.04523075596223,0.03869333267211914,0.0019822787625092798,0.0
Rastrigin,PSO,PyMOO,9.583506367926349,4.4741474990030845,5.008206765369749,0.12684452533721924,0.006464289886445993,0.0
Rastrigin,PSO,Optuna,99.96631769373735,12.445122440908342,84.43383172819082,0.03082740306854248,0.0019980887282730303,0.0
Ackley,GA,PyMOO,0.20960392234908917,0.08212850300298988,0.09714785595557673,0.12681453227996825,0.007944670221637183,0.0
Ackley,GA,Optuna,18.06633892509722,1.1329470514741187,16.170591258484716,0.08761615753173828,0.005032176232506072,0.0
Ackley,DE,PyMOO,9.567179074427315,1.303818550961653,6.467907620362698,0.11042332649230957,0.005489839290237829,0.0
Ackley,DE,Optuna,14.69249899798433,0.9981302409659024,13.445559666174873,0.03692967891693115,0.0022988165941390877,0.0
Ackley,PSO,PyMOO,0.012075251720800484,0.00506522923518774,0.005974614606135464,0.13608057498931886,0.007578700966951538,0.0
Ackley,PSO,Optuna,19.043063368055982,0.9800697279755489,16.5945049251071,0.03366398811340332,0.0066193353920040955,0.0
Rosenbrock,GA,PyMOO,22.23544321356316,23.729005208863164,0.49395515628687575,0.12302670478820801,0.005837303683946806,0.0
Rosenbrock,GA,Optuna,28164.30894491634,9961.934481105638,17195.19092594003,0.08887791633605957,0.00529040508418907,0.0
Rosenbrock,DE,PyMOO,373.5420059734735,126.16441090074787,223.05196765107488,0.10769844055175781,0.006648062645593746,0.0
Rosenbrock,DE,Optuna,9993.47777790766,8377.517977037252,3590.6373911010983,0.03715510368347168,0.0019410716824329248,0.0
Rosenbrock,PSO,PyMOO,27.79392835358547,57.85193095652695,4.066982918930657,0.13048965930938722,0.009822020431848206,0.0
Rosenbrock,PSO,Optuna,97724.87604831033,51240.80719929485,50235.70933823596,0.03031330108642578,0.001944748828651666,0.0
